Temperature:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graph,,,,,
I,J,K,Temperature Sensitivity Parameter,Total Factor Productivity Growth,Population Growth,V1,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,2155,2160,2165,2170,2175,2180,2185,2190,2195,2200,2205,2210,2215,2220,2225,2230,2235,2240,2245,2250,2255,2260,2265,2270,2275,2280,2285,2290,2295,2300,2305,SurfacePredictions,GAMS,Error,,Temperature Sensitivity Parameter,Total Factor Productivity Growth,Population Growth,SurfacePredictions,GAMS,Error
1,1,1,2.9,1,1,Atmospheric Temperature (deg C above preindustrial),0.8,0.925455564,1.059550747,1.201743454,1.351515088,1.508312269,1.671520213,1.840457248,2.01438245,2.1925105,2.374029584,2.558119559,2.743968636,2.930787654,3.117821528,3.304357839,3.489732753,3.673334562,3.854605214,4.030590172,4.201172666,4.36623973,4.525685853,4.679415048,4.827341735,4.969390759,5.10549676,5.235603093,5.359660407,5.477624986,5.589456928,5.695118195,5.794570578,5.887773577,5.974682217,6.055244763,6.129400351,6.19707648,6.258186333,6.312625896,6.360270788,6.400972752,6.434555681,6.460811058,6.479492575,6.490309599,6.47989845,6.452774489,6.412724889,6.362909592,6.305951197,6.244015499,6.178794768,6.1116756,6.043780598,5.9760063,5.909057228,5.845023075,5.79743978,5.778243365,3.853444,3.854605214,0.030%,,2.9,1,1,3.853444,3.854605214,0.030%
2,2,2,4.0524206,1.0044062,1.0007597,Atmospheric Temperature (deg C above preindustrial),0.8,0.97727805,1.164403321,1.361941076,1.570507796,1.79061382,2.022571667,2.266452499,2.522076637,2.789026925,3.066676196,3.354222242,3.650725576,3.955146864,4.266382248,4.583296026,4.90475136,5.229237424,5.555090378,5.877963015,6.195459098,6.505342043,6.805660123,7.094767347,7.371298149,7.634124174,7.882306431,8.115048507,8.331652905,8.531480631,8.713913338,8.878316752,9.024003908,9.150196185,9.255979856,9.34025506,9.401673141,9.43855683,9.455487705,9.456432121,9.444754161,9.42329069,9.394419068,9.360117977,9.322021831,9.281469202,9.223123859,9.150596672,9.066980995,8.974912418,8.87662669,8.774016275,8.668510096,8.561319215,8.453457732,8.345764341,8.238923471,8.133485311,8.029884358,7.950164648,5.486153,5.555090378,1.241%,,4.0524206,1.0044062,1.0007597,5.486153,5.555090378,1.241%
3,3,3,3.7179725,0.9972415,1.0063652,Atmospheric Temperature (deg C above preindustrial),0.8,0.963417654,1.13637348,1.318987078,1.51123597,1.712928668,1.923699599,2.143019833,2.370218134,2.604507732,2.845015153,3.090808382,3.340922458,3.594381234,3.850214391,4.107468962,4.365214336,4.62253896,4.878535205,5.129560841,5.374500682,5.612578481,5.843241371,6.06608923,6.280830197,6.487251565,6.685199884,6.874566671,7.055277652,7.227284307,7.390557002,7.545079291,7.690707462,7.82704855,7.953751447,8.070489693,8.176946337,8.272800066,8.35771199,8.43131249,8.49318755,8.542863876,8.579792021,8.603326308,8.612699878,8.608710803,8.584338215,8.543711035,8.490344214,8.427214153,8.356828428,8.281290677,8.202251184,8.12108741,8.038936182,7.956724245,7.87519661,7.79494241,7.717881996,7.670690968,4.909575,4.878535205,-0.636%,,3.7179725,0.9972415,1.0063652,4.909575,4.878535205,-0.636%
4,4,4,4.5653198,1.0051895,0.9964349,Atmospheric Temperature (deg C above preindustrial),0.8,0.997343949,1.204431038,1.42131777,1.64818048,1.885148262,2.132208768,2.389164604,2.655623595,2.931010504,3.214591193,3.505502897,3.802786412,4.105417669,4.412337558,4.722480126,5.03480074,5.34830779,5.6621047,5.972486181,6.278553318,6.579201309,6.873334292,7.159962812,7.438240211,7.70746855,7.966779188,8.21533348,8.452441055,8.677527798,8.890107654,9.089758061,9.276097982,9.448768031,9.607412018,9.751659279,9.881107197,9.995303154,10.09372505,10.17575981,10.24067822,10.28760489,10.31548163,10.32644095,10.32386214,10.31061076,10.27683345,10.22651949,10.16309656,10.08949371,10.00820179,9.921331663,9.830537405,9.73721677,9.642538491,9.547469015,9.452797914,9.359161465,9.26706417,9.199375998,5.644027,5.6621047,0.319%,,4.5653198,1.0051895,0.9964349,5.644027,5.6621047,0.319%
5,5,5,1.8874452,1.0076525,1.0016465,Atmospheric Temperature (deg C above preindustrial),0.8,0.861309436,0.935142655,1.021205904,1.119476764,1.229994531,1.352727463,1.487497789,1.633949147,1.79154396,1.959580583,2.137213451,2.322961544,2.515297597,2.712660726,2.913466757,3.116115765,3.318998414,3.52050597,3.7169194,3.90524445,4.082917563,4.247902885,4.398627809,4.533866053,4.652611858,4.753959585,4.836989628,4.900654629,4.943654914,4.964285465,4.963745761,4.947471714,4.91981335,4.884228256,4.843442247,4.799582891,4.754290467,4.708810109,4.664068233,4.620735779,4.579280424,4.540009534,4.50310536,4.468653752,4.436667445,4.384554861,4.317160707,4.238408742,4.151466849,4.05888724,3.962727995,3.864389053,3.765013117,3.665519728,3.56663741,3.468933073,3.372838342,3.278672717,3.25720198,3.367771,3.52050597,4.338%,,1.8874452,1.0076525,1.0016465,3.367771,3.52050597,4.338%
6,6,6,4.492066,0.9956008,0.9914186,Atmospheric Temperature (deg C above preindustrial),0.8,0.994551063,1.196614171,1.403869827,1.614196951,1.825683684,2.036627472,2.245529481,2.451085954,2.652177838,2.847859389,3.037346185,3.220002861,3.395330841,3.562956321,3.722618805,3.874160554,4.017517398,4.152711602,4.276902977,4.391598615,4.498162077,4.597777135,4.691440049,4.779967651,4.864013338,4.944086245,5.020570879,5.093745753,5.16380027,5.230849596,5.294947472,5.356097062,5.414260005,5.469363868,5.521308159,5.569969112,5.615203385,5.656850813,5.694736347,5.728671267,5.758453767,5.783868961,5.804688362,5.820668829,5.831550963,5.829143615,5.816098048,5.794657481,5.766711247,5.733843487,5.697377104,5.658363732,5.617677301,5.576036935,5.536271243,5.50194515,5.476447741,5.46293549,5.464333963,4.229201,4.152711602,-1.842%,,4.492066,0.9956008,0.9914186,4.229201,4.152711602,-1.842%
7,7,7,5.000872,0.9990374,1.0014129,Atmospheric Temperature (deg C above preindustrial),0.8,1.01354291,1.237341523,1.471144979,1.714649863,1.967440508,2.228964319,2.498530975,2.775326762,3.058437407,3.346874607,3.639602895,3.935564712,4.23370236,4.532976145,4.832378367,5.13094291,5.427750091,5.721925961,6.009531414,6.290069191,6.563142106,6.828420886,7.085625882,7.334516327,7.574883571,7.806546346,8.029347015,8.24314822,8.447829671,8.643284927,8.829418114,9.006140552,9.173367292,9.331013541,9.478990976,9.617203929,9.74554541,9.863892935,9.972104124,10.07001198,10.1574198,10.23409556,10.29976558,10.3541071,10.39673911,10.41154255,10.4034306,10.37666093,10.33490341,10.2813056,10.21855617,10.14884005,10.0740139,9.995642327,9.915032471,9.833266248,9.751230037,9.669641599,9.611812229,5.7929,5.721925961,-1.240%,,5.000872,0.9990374,1.0014129,5.7929,5.721925961,-1.240%
8,8,8,1.5306744,0.9981383,1.0012135,Atmospheric Temperature (deg C above preindustrial),0.8,0.827725848,0.871033107,0.9271175,0.993670716,1.068754438,1.150712682,1.238111539,1.329697953,1.424371285,1.521163194,1.619222695,1.717804326,1.816258053,1.914020069,2.010603931,2.10559159,2.198623847,2.28938948,2.375587263,2.457530502,2.535513367,2.609784581,2.680541053,2.747930939,2.812060475,2.873001651,2.930799351,2.985477378,3.037043236,3.08549172,3.130807474,3.172966676,3.211938006,3.247683049,3.280156219,3.309304301,3.335065663,3.357369173,3.376132833,3.391262135,3.402648095,3.410164954,3.413667441,3.412987531,3.407930528,3.38966345,3.361708745,3.326988618,3.28799745,3.246941654,3.206349914,3.167823827,3.133113568,3.104077053,3.082624977,3.070648864,3.069937043,3.082098355,3.108556544,2.268313,2.28938948,0.921%,,1.5306744,0.9981383,1.0012135,2.268313,2.28938948,0.921%
9,9,9,5.2396679,1.0071475,0.9986834,Atmospheric Temperature (deg C above preindustrial),0.8,1.022170626,1.255583507,1.501146654,1.759923629,2.032897731,2.320825422,2.624156323,2.943001607,3.277136268,3.626023756,3.988854195,4.364589849,4.752013876,5.149780794,5.556156398,5.968854429,6.38562338,6.804301928,7.219745083,7.628785038,8.028318517,8.415568317,8.788145948,9.144027424,9.481494515,9.799065049,10.09542203,10.36934473,10.61964164,10.84508351,11.04433338,11.21586988,11.3578985,11.46824471,11.54692841,11.5993463,11.6301659,11.64340464,11.64250289,11.63039108,11.6095511,11.58207212,11.54970114,11.51388839,11.47582804,11.41523716,11.33617046,11.24216386,11.13628036,11.02116078,10.89907797,10.77177871,10.64076392,10.50731134,10.37249906,10.23722849,10.10224632,9.968164812,9.83548031,6.688287,6.804301928,1.705%,,5.2396679,1.0071475,0.9986834,6.688287,6.804301928,1.705%
10,10,10,3.1278626,1.0021664,1.009239,Atmospheric Temperature (deg C above preindustrial),0.8,0.936781577,1.083850697,1.242445402,1.413746667,1.598742601,1.798144058,2.012342627,2.241310465,2.48445332,2.740891361,3.009497248,3.288937749,3.577713895,3.874195751,4.176648421,4.483245775,4.792066809,5.101065567,5.405475428,5.700897609,5.983763593,6.251212584,6.500936923,6.731028819,6.939838305,7.125841938,7.287516816,7.423211286,7.531000191,7.608506998,7.655868323,7.678963675,7.682767435,7.671466527,7.648564925,7.616976396,7.579106679,7.536926114,7.492033638,7.445712969,7.398981724,7.352634174,7.307278296,7.263367714,7.221229107,7.155693115,7.071256758,6.971769302,6.860511988,6.740274803,6.613431778,6.481729065,6.346661152,6.20949349,6.071286371,5.93291868,5.795110656,5.658445123,5.533259086,4.989268,5.101065567,2.192%,,3.1278626,1.0021664,1.009239,4.989268,5.101065567,2.192%
