I,J,K,Temperature Sensitivity Parameter,Total Factor Productivity Growth,Population Level,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,Mode
1,1,1,1,0.99,0.99,Social Cost of Carbon,0.002274327,0.002511801,0.002725959,0.002921556,0.0031009,0.003265142,0.003414989,0.003551076,0.003674147,0.003785124,0.003885108,0.003975324,0.004057015,0.004131261,0.004198706,0.004259132,0.004310814,0.00434956,0.004367329,0.004503573,0.004718139,0.004986405,0.005292841,0.005627373,0.005983256,0.006355785,0.006741492,0.007137633,0.007541866,0.007952029,0.008365994,0.008781569,0.009196415,0.00960798,0.010013442,0.010409645,0.010793031,0.011159564,0.011504642,0.011822992,0.012108557,0.012354353,0.012552334,0.012693233,0.012766432,0.012759855,0.012659952,0.012451828,0.012119622,0.011647276,0.011019868,0.010225708,0.009259366,0.00812561,0.006843793,0.005451267,0.004002162,0,0,0,BaseL3
1,1,2,1,0.99,0.995,Social Cost of Carbon,0.002821138,0.003189776,0.00353845,0.003871864,0.004191632,0.004497695,0.004789167,0.00506484,0.005323473,0.005563948,0.005785362,0.005987077,0.006168743,0.006330316,0.006472065,0.006594575,0.006698716,0.00678556,0.006856174,0.007097378,0.007451746,0.007883841,0.008371158,0.008899004,0.009457469,0.010039582,0.010640156,0.011255055,0.011880717,0.012513843,0.013151184,0.013789387,0.014424878,0.015053769,0.01567176,0.016274047,0.016855218,0.017409135,0.0179288,0.018406188,0.018832075,0.019195829,0.019485189,0.019686037,0.01978218,0.019755208,0.019584469,0.019247273,0.018719484,0.017976705,0.01699633,0.01576077,0.014262087,0.012508023,0.01052871,0.008381853,0.006150713,0,0,0,BaseL3
1,1,3,1,0.99,1,Social Cost of Carbon,0.003550461,0.004099629,0.004636989,0.005167327,0.005691375,0.006207316,0.006711777,0.007200486,0.007668694,0.008111479,0.008523995,0.008901736,0.009240874,0.00953873,0.009794467,0.010010093,0.010191898,0.010352536,0.010514176,0.010913398,0.011470046,0.012134381,0.012874663,0.013670074,0.01450651,0.015374008,0.016265123,0.017173898,0.018095196,0.019024253,0.019956378,0.020886737,0.021810182,0.02272111,0.023613329,0.024479917,0.025313065,0.026103916,0.026842347,0.027516747,0.028113751,0.028617934,0.029011488,0.029273893,0.029381615,0.02930789,0.029022691,0.028493038,0.027683888,0.026559888,0.025088404,0.023244258,0.021016513,0.018417274,0.015491467,0.012324326,0.009038266,0.005536807,0,0,BaseL3
1,1,4,1,0.99,1.005,Social Cost of Carbon,0.004519993,0.005315003,0.006112964,0.006918985,0.007732672,0.00854967,0.009362804,0.010162892,0.010939361,0.011680752,0.012375259,0.013011397,0.013578943,0.014070314,0.014482596,0.014820489,0.015100578,0.015357688,0.015655254,0.016270653,0.017095415,0.018062057,0.019127464,0.020263361,0.021450619,0.022675751,0.023928716,0.025201505,0.026487231,0.027779518,0.029072092,0.030358476,0.031631758,0.032884392,0.034108006,0.035293202,0.036429343,0.037504303,0.038504184,0.039412983,0.040212216,0.040880493,0.041393056,0.041721313,0.041832404,0.041688896,0.04124874,0.040465703,0.039290602,0.037673767,0.035569303,0.032941744,0.029775617,0.026087831,0.021941438,0.017456167,0.012803949,0.007845974,0.003087867,0,BaseL3
1,1,5,1,0.99,1.01,Social Cost of Carbon,0.005813544,0.00694304,0.008099706,0.009289478,0.01051062,0.011755227,0.013010477,0.014259634,0.015482897,0.016658243,0.017762445,0.018772471,0.019667515,0.020432013,0.021060027,0.021561611,0.021972026,0.022365767,0.022880776,0.023814329,0.025025001,0.026425333,0.027960039,0.029593464,0.031302061,0.033069763,0.03488506,0.036739126,0.038624599,0.040534761,0.042462962,0.044402191,0.046344727,0.048281822,0.050203381,0.052097619,0.053950675,0.055746162,0.057464631,0.059082945,0.060573548,0.061903612,0.063034082,0.06391864,0.06450264,0.064722143,0.064503237,0.063761975,0.062405407,0.060334385,0.057449012,0.053657614,0.048889587,0.043140435,0.03651418,0,0,0,0,0,BaseL3
1,2,1,1,0.995,0.99,Social Cost of Carbon,0.002126624,0.002364959,0.002608616,0.00285701,0.003108866,0.003362886,0.003618082,0.003873946,0.004130524,0.004388415,0.004648735,0.004912995,0.005182889,0.0054599,0.005744627,0.006035643,0.006327625,0.006608417,0.006854717,0.007213908,0.007651316,0.008144945,0.008680455,0.009248205,0.009841436,0.010455149,0.011085379,0.011728734,0.012382091,0.013042385,0.01370647,0.014371009,0.015032382,0.015686606,0.01632925,0.016955348,0.017559289,0.018134708,0.018674336,0.019169841,0.019611641,0.019988687,0.020288237,0.020495614,0.020593995,0.020564247,0.020384905,0.020032389,0.019481614,0.01870723,0.017685758,0.016398945,0.014838588,0.013012793,0.010952948,0.00871911,0,0,0,0,BaseL3
1,2,2,1,0.995,0.995,Social Cost of Carbon,0.002610595,0.002973011,0.003353018,0.003750286,0.004163164,0.004589443,0.005026793,0.00547302,0.005926201,0.006384745,0.006847407,0.007313244,0.007781517,0.008251491,0.008722103,0.009191385,0.009655534,0.010107406,0.010534171,0.011111252,0.011792544,0.012548559,0.013359923,0.01421349,0.015099962,0.016012382,0.016945178,0.017893541,0.018853014,0.019819212,0.020787625,0.021753468,0.022711547,0.023656152,0.024580923,0.025478723,0.02634149,0.027160057,0.027923943,0.028621117,0.029237726,0.029757783,0.030162828,0.030431579,0.030539625,0.030459201,0.03015917,0.029605344,0.028761393,0.027590669,0.026059353,0.024141368,0.021825446,0.019124261,0.016084578,0.012795018,0.009382803,0.005747945,0,0,BaseL3
1,2,3,1,0.995,1,Social Cost of Carbon,0.003244912,0.003775156,0.004342689,0.004947887,0.005588873,0.006262318,0.006963951,0.007688869,0.00843173,0.009186877,0.009948439,0.010710449,0.011467032,0.012212727,0.012943031,0.013655286,0.014350098,0.015033526,0.015720474,0.016596382,0.017602874,0.018702463,0.019870445,0.02109003,0.022349315,0.023639382,0.024953068,0.026284171,0.027626922,0.028975618,0.030324362,0.031666859,0.032996238,0.034304887,0.035584278,0.036824778,0.038015426,0.039143686,0.04019514,0.041153148,0.041998446,0.042708692,0.043257984,0.043616349,0.043749284,0.043617412,0.043176421,0.042377488,0.041168541,0.03949681,0.037313259,0.034579559,0.031278117,0.027425134,0.02308517,0.018382403,0.013496167,0.008278128,0,0,BaseL3
1,2,4,1,0.995,1.005,Social Cost of Carbon,0.004080559,0.004837672,0.005662205,0.006556016,0.007517343,0.008541551,0.009621628,0.010748508,0.011911288,0.013097433,0.014293025,0.015483209,0.01665299,0.017788632,0.018880008,0.019924425,0.020932679,0.021938622,0.023014848,0.02432286,0.025794044,0.027384779,0.029066814,0.030821432,0.032635813,0.034500729,0.036409057,0.038354801,0.04033243,0.042336413,0.044360863,0.046399245,0.048444101,0.050486775,0.052517115,0.054523127,0.056490569,0.058402472,0.060238567,0.0619746,0.063581529,0.065024589,0.066262228,0.067244945,0.067914075,0.068200647,0.068024501,0.067293967,0.065906585,0.063751445,0.060713849,0.056682435,0,0,0,0,0,0,0,0,BaseL3
1,2,5,1,0.995,1.01,Social Cost of Carbon,0.005191118,0.006255811,0.007432681,0.008726291,0.010135603,0.011654514,0.013272217,0.014973452,0.016738729,0.018544623,0.020364333,0.022168745,0.023928388,0.025616839,0.027216369,0.028726999,0.030180764,0.031664554,0.033359451,0.035343971,0.03754614,0.039922001,0.042444879,0.045098831,0.047874546,0.050766704,0.053772233,0.056889089,0.060115351,0.063448469,0.066884561,0.070417679,0.074038986,0.07773576,0.08149018,0.085277794,0.089065554,0.092809234,0.096449887,0.099908685,0.103078227,0.105847038,0.108144333,0.10989064,0.11099528,0.111354637,0.110851425,0.109355466,0.106726782,0.102822227,0.097507253,0.090674622,0.082271581,0.072335511,0,0,0,0,0,0,BaseL3
