"I","J","K","Temperature Sensitivity Parameter","Total Factor Productivity Growth","Population Level","Pcy2010","Pcy2015","PcY.r1","Pcy2100","PcY.r2","APY_2010_2015","APY_2010_2100","Ratio","Rate"
1,1,1,1,0.99,0.99,63.5819868191,70.4284580561,1.10767941644352,91.7730661215,1.44338154110547,1.07615847298249,1.00408597663427,0.990639807722258,-0.00936019227774187
1,2,1,1,0.995,0.99,63.5819868191,71.3331162546,1.12190763175667,140.1786267169,2.20469088384622,1.17130377039058,1.00882299866226,0.995313394148309,-0.00468660585169123
1,3,1,1,1,0.99,63.5819868191,72.2549288017,1.13640564594617,213.9416966814,3.36481615917564,1.27465386799856,1.01357321683138,1,0
1,4,1,1,1.005,0.99,63.5819868191,73.1934646115,1.15116667901156,326.2231068236,5.13074729406856,1.38687118510278,1.01833552800178,1.00469853691012,0.00469853691012379
1,5,1,1,1.01,0.99,63.5819868191,74.1483646741,1.16618508454388,496.935605473,7.81566651710419,1.50866635117978,1.02310885776402,1.00940794485716,0.00940794485715535
1,1,2,1,0.99,0.995,63.5819868191,72.2260404602,1.135951298057,143.4502109156,2.25614546025019,1.17672077039266,1.00908163235705,0.990637674956586,-0.00936232504341439
1,2,2,1,0.995,0.995,63.5819868191,73.149802478,1.15047997298546,219.1398109056,3.44657066991449,1.28078855340494,1.01384361115489,0.995312614479035,-0.00468738552096515
1,3,2,1,1,0.995,63.5819868191,74.0915522827,1.1652915548786,334.4764424025,5.26055348591314,1.39381870396289,1.01861826767418,1,0
1,4,2,1,1.005,0.995,63.5819868191,75.0507831197,1.18037807363948,510.0248328085,8.02153028434916,1.5165315348737,1.02340445347354,1.00469870406928,0.00469870406928097
1,5,2,1,1.01,0.995,63.5819868191,76.027034315,1.19573228391412,776.8688206723,12.2183791280792,1.6496914341322,1.02820077967866,1.00940736319835,0.00940736319835023
1,1,3,1,0.99,1,63.5819868191,74.0584190026,1.16477044376274,223.6626241106,3.51770423196986,1.28603226381107,1.01407376673042,0.99063620844735,-0.00936379155265032
1,2,3,1,0.995,1,63.5819868191,75.0015765339,1.17960416599265,341.7080708516,5.37429054904826,1.39979432467944,1.0188603917637,0.995312203655777,-0.00468779634422256
1,3,3,1,1,1,63.5819868191,75.963608423,1.1947347389305,521.5736258914,8.20316652537696,1.52333810447269,1.02365909713699,1,0
1,4,3,1,1.005,1,63.5819868191,76.9438434241,1.21015160540699,795.2804224938,12.507951737282,1.65743780038032,1.02846841263381,1.00469816124359,0.00469816124359235
1,5,3,1,1.01,1,63.5819868191,77.9417233788,1.22584598686033,1211.4888473262,19.0539633618726,1.8030055566091,1.03328960217244,1.0094079220928,0.00940792209279984
1,1,4,1,0.99,1.005,63.5819868191,75.9252867188,1.19413202570751,347.8473645429,5.47084767156736,1.40478843919368,1.01906199886677,0.990635806851345,-0.00936419314865455
1,2,4,1,0.995,1.005,63.5819868191,76.8882495847,1.2092772407924,531.4690941933,8.35879972900826,1.52907498674152,1.02387288907769,0.995312499840656,-0.00468750015934438
1,3,4,1,1,1.005,63.5819868191,77.8708809882,1.22473179722669,811.1978095444,12.75829602262,1.66401997359683,1.02869489656928,1,0
1,4,4,1,1.005,1.005,63.5819868191,78.872306232,1.24048193801183,1237.0302826714,19.4556720316232,1.81054468282111,1.03352916389985,1.00469941801665,0.00469941801664508
1,5,4,1,1.01,1.005,63.5819868191,79.8923098524,1.25652427439402,1884.8460217577,29.6443397895124,1.96964680775353,1.03837663833115,1.00941167472898,0.00941167472898452
1,1,5,1,0.99,1.01,63.5819868191,77.8260734279,1.22402707624294,539.6123382503,8.48687443167788,1.5337322700418,1.02404589204284,0.990634260899782,-0.00936573910021776
1,2,5,1,0.995,1.01,63.5819868191,78.8091494716,1.23948862585599,824.45817936,12.966851471718,1.66942497841737,1.02888024391729,0.995310881970467,-0.00468911802953298
1,3,5,1,1,1.01,63.5819868191,79.8124189888,1.25526777286589,1258.5802730249,19.7946043524205,1.81680938708975,1.03372751424195,1,0
1,4,5,1,1.005,1.01,63.5819868191,80.8358510145,1.27136403026363,1919.8024538879,30.1941249390337,1.97689903563457,1.03858867526527,1.00470255551521,0.00470255551520538
1,5,5,1,1.01,1.01,63.5819868191,81.8785903185,1.28776394722387,2926.3992281686,46.0256021331109,2.15079934615978,1.04346472486556,1.00941951383653,0.00941951383653294
2,1,1,1.4,0.99,0.99,63.5819868191,70.42177936,1.10757437574828,91.6523799493,1.44148342218472,1.07587528353625,1.00407129571655,0.990646684189759,-0.00935331581024135
2,2,1,1.4,0.995,0.99,63.5819868191,71.3267469911,1.12180745773225,139.9563373373,2.20119477762619,1.17093205366834,1.00880520972025,0.995317304922579,-0.00468269507742081
2,3,1,1.4,1,0.99,63.5819868191,72.2488700328,1.13631035529542,213.5269148377,3.3582925844267,1.27415923438669,1.01355136169236,1,0
2,4,1,1.4,1.005,0.99,63.5819868191,73.1877191921,1.15107631663555,325.4379622678,5.11839875645469,1.38620296501524,1.01830826330793,1.00469330099624,0.00469330099624243
2,5,1,1.4,1.01,0.99,63.5819868191,74.1429324886,1.1660996486245,495.4371273969,7.79209886609065,1.50775539403601,1.02307452743664,1.00939583932715,0.00939583932715338
2,1,2,1.4,0.99,0.995,63.5819868191,72.2151226783,1.1357795861863,143.216949046,2.25247678172551,1.17633783223867,1.00906338601698,0.990646969441748,-0.00935303055825187
2,2,2,1.4,0.995,0.995,63.5819868191,73.1394144385,1.15031659275751,218.7040068049,3.43971646288979,1.28027872595908,1.01382118649392,0.995317935298802,-0.00468206470119759
2,3,2,1.4,1,0.995,63.5819868191,74.0817027317,1.16513664384967,333.6507007155,5.2475664477863,1.39312982289386,1.01859029214576,1,0
2,4,2,1.4,1.005,0.995,63.5819868191,75.0414743936,1.18023166855581,508.4477769914,7.99672678423856,1.51559251452241,1.0233692386615,1.00469172595949,0.00469172595949163
2,5,2,1.4,1.01,0.995,63.5819868191,76.0182537332,1.19559418533873,773.8483198261,12.1708735215811,1.64840661953949,1.02815627527976,1.00939139436903,0.00939139436902692
2,1,3,1.4,0.99,1,63.5819868191,74.0412462421,1.16450035530909,223.2067143026,3.51053380791097,1.2855075508747,1.0140507761127,0.990648660746611,-0.00935133925338949
2,2,3,1.4,0.995,1,63.5819868191,74.9853177676,1.17934845258837,340.8436548253,5.36069525155057,1.39908539738846,1.01883171807753,0.995319268832644,-0.00468073116735634
2,3,3,1.4,1,1,63.5819868191,75.9482746115,1.19449357296091,519.9219428113,8.17718930820066,1.52237207981008,1.02362302226145,1,0
2,4,3,1.4,1.005,1,63.5819868191,76.9294148552,1.20992467684402,792.115994947,12.4581824912248,1.65611670422929,1.02842285311165,1.00468906105648,0.00468906105647604
2,5,3,1.4,1.01,1,63.5819868191,77.9281390285,1.22563233593528,1205.6762454948,18.962544359067,1.80127209870588,1.03323438641435,1.00938955449797,0.00938955449797252
2,1,4,1.4,0.99,1.005,63.5819868191,75.898917724,1.19371730141028,346.9465294161,5.45667958447435,1.40406007620958,1.01903263782915,0.990652112299465,-0.00934788770053541
